tagger_cut,msd_cut,n_evt_total,Fake,Sig,noevnt,raw_two_or_more,sig-fake
0.1,0,500,10.8,69.0,20.200000000000003,54,58.199999999999996
0.1,10,500,9.0,70.0,21.0,45,61.0
0.1,20,500,9.0,70.0,21.0,45,61.0
0.1,30,500,9.0,69.8,21.2,45,60.8
0.1,40,500,8.4,70.0,21.6,42,61.6
0.1,50,500,8.200000000000001,70.19999999999999,21.6,41,62.0
0.1,60,500,7.8,69.19999999999999,23.0,39,61.4
0.1,70,500,7.6,68.0,24.4,38,60.4
0.1,80,500,7.000000000000001,64.8,28.199999999999996,35,57.8
0.1,90,500,6.2,61.4,32.4,31,55.2
0.1,100,500,5.800000000000001,57.8,36.4,29,52.0
0.1,110,500,5.0,55.800000000000004,39.2,25,50.8
0.1,120,500,4.3999999999999995,53.6,42.0,22,49.2
0.1,130,500,3.8,51.2,45.0,19,47.4
0.1,140,500,3.2,49.4,47.4,16,46.2
0.1,150,500,2.0,46.800000000000004,51.2,10,44.800000000000004
0.1,160,500,1.7999999999999998,42.8,55.400000000000006,9,41.0
0.1,170,500,1.7999999999999998,35.8,62.4,9,34.0
0.1,180,500,1.2,28.000000000000004,70.8,6,26.8
0.1,190,500,0.8,21.8,77.4,4,21.0
0.1,200,500,0.4,19.8,79.80000000000001,2,19.400000000000002
0.2,0,500,6.6000000000000005,67.60000000000001,25.8,33,61.0
0.2,10,500,5.6000000000000005,68.2,26.200000000000003,28,62.6
0.2,20,500,5.6000000000000005,68.2,26.200000000000003,28,62.6
0.2,30,500,5.6000000000000005,68.2,26.200000000000003,28,62.6
0.2,40,500,5.4,68.0,26.6,27,62.6
0.2,50,500,5.4,68.0,26.6,27,62.6
0.2,60,500,5.4,66.60000000000001,28.000000000000004,27,61.199999999999996
0.2,70,500,5.4,65.60000000000001,28.999999999999996,27,60.199999999999996
0.2,80,500,4.8,63.0,32.2,24,58.199999999999996
0.2,90,500,4.3999999999999995,60.0,35.6,22,55.60000000000001
0.2,100,500,4.3999999999999995,56.599999999999994,39.0,22,52.2
0.2,110,500,3.8,54.800000000000004,41.4,19,51.0
0.2,120,500,3.2,52.6,44.2,16,49.4
0.2,130,500,2.8000000000000003,50.0,47.199999999999996,14,47.199999999999996
0.2,140,500,2.4,48.0,49.6,12,45.6
0.2,150,500,1.6,45.2,53.2,8,43.6
0.2,160,500,1.6,41.199999999999996,57.199999999999996,8,39.6
0.2,170,500,1.6,34.2,64.2,8,32.6
0.2,180,500,1.2,26.200000000000003,72.6,6,25.0
0.2,190,500,0.8,20.200000000000003,79.0,4,19.400000000000002
0.2,200,500,0.4,18.2,81.39999999999999,2,17.8
0.3,0,500,5.0,67.2,27.800000000000004,25,62.2
0.3,10,500,4.6,67.2,28.199999999999996,23,62.6
0.3,20,500,4.6,67.2,28.199999999999996,23,62.6
0.3,30,500,4.6,67.2,28.199999999999996,23,62.6
0.3,40,500,4.3999999999999995,67.2,28.4,22,62.8
0.3,50,500,4.3999999999999995,67.2,28.4,22,62.8
0.3,60,500,4.3999999999999995,65.8,29.799999999999997,22,61.4
0.3,70,500,4.3999999999999995,64.8,30.8,22,60.4
0.3,80,500,4.0,62.2,33.800000000000004,20,58.199999999999996
0.3,90,500,3.8,58.8,37.4,19,55.00000000000001
0.3,100,500,3.8,55.800000000000004,40.400000000000006,19,52.0
0.3,110,500,3.2,54.400000000000006,42.4,16,51.2
0.3,120,500,2.6,52.2,45.2,13,49.6
0.3,130,500,2.1999999999999997,49.6,48.199999999999996,11,47.4
0.3,140,500,2.0,47.4,50.6,10,45.4
0.3,150,500,1.4000000000000001,44.6,54.0,7,43.2
0.3,160,500,1.4000000000000001,40.6,57.99999999999999,7,39.2
0.3,170,500,1.4000000000000001,33.6,65.0,7,32.2
0.3,180,500,1.2,25.2,73.6,6,24.0
0.3,190,500,0.8,19.2,80.0,4,18.4
0.3,200,500,0.4,17.2,82.39999999999999,2,16.8
0.4,0,500,4.0,66.2,29.799999999999997,20,62.2
0.4,10,500,3.5999999999999996,66.4,30.0,18,62.8
0.4,20,500,3.5999999999999996,66.4,30.0,18,62.8
0.4,30,500,3.5999999999999996,66.4,30.0,18,62.8
0.4,40,500,3.5999999999999996,66.2,30.2,18,62.6
0.4,50,500,3.5999999999999996,66.2,30.2,18,62.6
0.4,60,500,3.5999999999999996,65.0,31.4,18,61.4
0.4,70,500,3.5999999999999996,64.0,32.4,18,60.4
0.4,80,500,3.2,61.6,35.199999999999996,16,58.4
0.4,90,500,2.8000000000000003,59.0,38.2,14,56.2
0.4,100,500,2.8000000000000003,56.00000000000001,41.199999999999996,14,53.2
0.4,110,500,2.1999999999999997,54.800000000000004,43.0,11,52.6
0.4,120,500,1.6,52.6,45.800000000000004,8,51.0
0.4,130,500,1.2,50.2,48.6,6,49.0
0.4,140,500,1.2,47.8,51.0,6,46.6
0.4,150,500,0.6,45.0,54.400000000000006,3,44.4
0.4,160,500,0.6,41.0,58.4,3,40.400000000000006
0.4,170,500,0.6,34.0,65.4,3,33.4
0.4,180,500,0.6,25.4,74.0,3,24.8
0.4,190,500,0.4,19.0,80.60000000000001,2,18.6
0.4,200,500,0.0,17.0,83.0,0,17.0
0.5,0,500,3.4000000000000004,63.800000000000004,32.800000000000004,17,60.4
0.5,10,500,3.2,63.800000000000004,33.0,16,60.6
0.5,20,500,3.2,63.800000000000004,33.0,16,60.6
0.5,30,500,3.2,63.800000000000004,33.0,16,60.6
0.5,40,500,3.2,63.6,33.2,16,60.4
0.5,50,500,3.2,63.6,33.2,16,60.4
0.5,60,500,3.2,62.8,34.0,16,59.599999999999994
0.5,70,500,3.2,61.8,35.0,16,58.599999999999994
0.5,80,500,2.8000000000000003,59.599999999999994,37.6,14,56.8
0.5,90,500,2.4,56.99999999999999,40.6,12,54.6
0.5,100,500,2.4,54.400000000000006,43.2,12,52.0
0.5,110,500,1.7999999999999998,53.400000000000006,44.800000000000004,9,51.6
0.5,120,500,1.4000000000000001,51.2,47.4,7,49.8
0.5,130,500,1.2,48.8,50.0,6,47.599999999999994
0.5,140,500,1.2,46.6,52.2,6,45.4
0.5,150,500,0.6,43.8,55.60000000000001,3,43.2
0.5,160,500,0.6,40.400000000000006,59.0,3,39.800000000000004
0.5,170,500,0.6,33.4,66.0,3,32.800000000000004
0.5,180,500,0.6,24.8,74.6,3,24.2
0.5,190,500,0.4,18.4,81.2,2,18.0
0.5,200,500,0.0,16.6,83.39999999999999,0,16.6
0.6,0,500,3.4000000000000004,62.2,34.4,17,58.8
0.6,10,500,3.2,62.2,34.599999999999994,16,59.0
0.6,20,500,3.2,62.2,34.599999999999994,16,59.0
0.6,30,500,3.2,62.2,34.599999999999994,16,59.0
0.6,40,500,3.2,62.0,34.8,16,58.8
0.6,50,500,3.2,62.0,34.8,16,58.8
0.6,60,500,3.2,61.6,35.199999999999996,16,58.4
0.6,70,500,3.2,60.6,36.199999999999996,16,57.4
0.6,80,500,2.8000000000000003,58.599999999999994,38.6,14,55.800000000000004
0.6,90,500,2.4,56.00000000000001,41.6,12,53.6
0.6,100,500,2.4,53.800000000000004,43.8,12,51.4
0.6,110,500,1.7999999999999998,52.800000000000004,45.4,9,51.0
0.6,120,500,1.4000000000000001,50.6,48.0,7,49.2
0.6,130,500,1.2,48.199999999999996,50.6,6,47.0
0.6,140,500,1.2,46.2,52.6,6,45.0
0.6,150,500,0.6,43.4,56.00000000000001,3,42.8
0.6,160,500,0.6,40.0,59.4,3,39.4
0.6,170,500,0.6,33.0,66.4,3,32.4
0.6,180,500,0.6,24.4,75.0,3,23.799999999999997
0.6,190,500,0.4,18.0,81.6,2,17.599999999999998
0.6,200,500,0.0,16.2,83.8,0,16.2
0.7,0,500,2.4,61.8,35.8,12,59.4
0.7,10,500,2.1999999999999997,61.8,36.0,11,59.599999999999994
0.7,20,500,2.1999999999999997,61.8,36.0,11,59.599999999999994
0.7,30,500,2.1999999999999997,61.8,36.0,11,59.599999999999994
0.7,40,500,2.1999999999999997,61.6,36.199999999999996,11,59.4
0.7,50,500,2.1999999999999997,61.6,36.199999999999996,11,59.4
0.7,60,500,2.1999999999999997,61.199999999999996,36.6,11,59.0
0.7,70,500,2.1999999999999997,60.4,37.4,11,58.199999999999996
0.7,80,500,1.7999999999999998,58.599999999999994,39.6,9,56.8
0.7,90,500,1.6,56.00000000000001,42.4,8,54.400000000000006
0.7,100,500,1.6,53.800000000000004,44.6,8,52.2
0.7,110,500,1.2,52.6,46.2,6,51.4
0.7,120,500,1.2,50.0,48.8,6,48.8
0.7,130,500,1.0,47.8,51.2,5,46.800000000000004
0.7,140,500,1.0,46.0,53.0,5,45.0
0.7,150,500,0.6,43.2,56.2,3,42.6
0.7,160,500,0.6,39.800000000000004,59.599999999999994,3,39.2
0.7,170,500,0.6,32.800000000000004,66.60000000000001,3,32.2
0.7,180,500,0.6,24.2,75.2,3,23.599999999999998
0.7,190,500,0.4,17.8,81.8,2,17.4
0.7,200,500,0.0,16.0,84.0,0,16.0
0.8,0,500,1.6,59.8,38.6,8,58.199999999999996
0.8,10,500,1.4000000000000001,59.8,38.800000000000004,7,58.4
0.8,20,500,1.4000000000000001,59.8,38.800000000000004,7,58.4
0.8,30,500,1.4000000000000001,59.8,38.800000000000004,7,58.4
0.8,40,500,1.4000000000000001,59.8,38.800000000000004,7,58.4
0.8,50,500,1.4000000000000001,59.8,38.800000000000004,7,58.4
0.8,60,500,1.4000000000000001,59.599999999999994,39.0,7,58.199999999999996
0.8,70,500,1.4000000000000001,58.8,39.800000000000004,7,57.4
0.8,80,500,1.2,56.99999999999999,41.8,6,55.800000000000004
0.8,90,500,1.0,55.00000000000001,44.0,5,54.0
0.8,100,500,1.0,53.2,45.800000000000004,5,52.2
0.8,110,500,0.6,52.0,47.4,3,51.4
0.8,120,500,0.6,50.0,49.4,3,49.4
