tagger_cut,msd_cut,n_evt_total,Fake,Sig,noevnt,raw_two_or_more
0.1,0,500,16.400000000000002,75.8,7.8,82
0.1,10,500,14.6,76.4,9.0,73
0.1,20,500,14.2,76.6,9.2,71
0.1,30,500,14.2,76.2,9.6,71
0.1,40,500,13.600000000000001,76.8,9.6,68
0.1,50,500,13.200000000000001,76.4,10.4,66
0.1,60,500,12.8,75.8,11.4,64
0.1,70,500,12.2,75.2,12.6,61
0.1,80,500,10.4,71.8,17.8,52
0.1,90,500,8.799999999999999,69.6,21.6,44
0.1,100,500,7.8,68.0,24.2,39
0.1,110,500,7.199999999999999,66.2,26.6,36
0.1,120,500,6.800000000000001,64.8,28.4,34
0.1,130,500,6.4,63.4,30.2,32
0.1,140,500,5.800000000000001,61.4,32.800000000000004,29
0.1,150,500,5.0,58.599999999999994,36.4,25
0.1,160,500,4.0,55.800000000000004,40.2,20
0.1,170,500,3.0,47.599999999999994,49.4,15
0.1,180,500,1.6,37.6,60.8,8
0.1,190,500,0.4,31.4,68.2,2
0.1,200,500,0.4,25.4,74.2,2
0.2,0,500,11.200000000000001,78.4,10.4,56
0.2,10,500,10.8,77.8,11.4,54
0.2,20,500,10.6,77.60000000000001,11.799999999999999,53
0.2,30,500,10.6,77.4,12.0,53
0.2,40,500,10.0,78.0,12.0,50
0.2,50,500,9.6,77.60000000000001,12.8,48
0.2,60,500,9.2,77.2,13.600000000000001,46
0.2,70,500,9.0,76.0,15.0,45
0.2,80,500,8.200000000000001,71.8,20.0,41
0.2,90,500,7.199999999999999,69.0,23.799999999999997,36
0.2,100,500,6.4,67.60000000000001,26.0,32
0.2,110,500,6.0,65.4,28.599999999999998,30
0.2,120,500,5.6000000000000005,64.2,30.2,28
0.2,130,500,5.2,62.8,32.0,26
0.2,140,500,4.8,60.8,34.4,24
0.2,150,500,4.2,57.8,38.0,21
0.2,160,500,3.2,55.2,41.6,16
0.2,170,500,2.4,47.0,50.6,12
0.2,180,500,1.4000000000000001,36.6,62.0,7
0.2,190,500,0.2,30.599999999999998,69.19999999999999,1
0.2,200,500,0.2,24.6,75.2,1
0.3,0,500,9.2,78.60000000000001,12.2,46
0.3,10,500,8.799999999999999,78.0,13.200000000000001,44
0.3,20,500,8.6,77.8,13.600000000000001,43
0.3,30,500,8.6,77.60000000000001,13.8,43
0.3,40,500,8.200000000000001,78.0,13.8,41
0.3,50,500,7.8,77.60000000000001,14.6,39
0.3,60,500,7.3999999999999995,77.4,15.2,37
0.3,70,500,7.199999999999999,76.2,16.6,36
0.3,80,500,6.6000000000000005,71.8,21.6,33
0.3,90,500,5.800000000000001,69.0,25.2,29
0.3,100,500,5.2,67.4,27.400000000000002,26
0.3,110,500,5.0,65.2,29.799999999999997,25
0.3,120,500,4.6,64.0,31.4,23
0.3,130,500,4.2,62.8,33.0,21
0.3,140,500,4.0,60.4,35.6,20
0.3,150,500,3.4000000000000004,57.4,39.2,17
0.3,160,500,2.6,54.6,42.8,13
0.3,170,500,1.7999999999999998,46.400000000000006,51.800000000000004,9
0.3,180,500,1.2,35.6,63.2,6
0.3,190,500,0.2,29.4,70.39999999999999,1
0.3,200,500,0.2,23.400000000000002,76.4,1
0.4,0,500,8.200000000000001,78.4,13.4,41
0.4,10,500,7.8,78.0,14.2,39
0.4,20,500,7.6,77.8,14.6,38
0.4,30,500,7.6,77.60000000000001,14.799999999999999,38
0.4,40,500,7.199999999999999,78.0,14.799999999999999,36
0.4,50,500,7.000000000000001,77.4,15.6,35
0.4,60,500,6.800000000000001,77.2,16.0,34
0.4,70,500,6.6000000000000005,76.0,17.4,33
0.4,80,500,6.0,72.0,22.0,30
0.4,90,500,5.4,68.8,25.8,27
0.4,100,500,4.8,67.2,28.000000000000004,24
0.4,110,500,4.6,65.0,30.4,23
0.4,120,500,4.2,63.800000000000004,32.0,21
0.4,130,500,4.0,62.2,33.800000000000004,20
0.4,140,500,4.0,59.8,36.199999999999996,20
0.4,150,500,3.4000000000000004,56.8,39.800000000000004,17
0.4,160,500,2.6,54.0,43.4,13
