WR,N,CrossSection
1000,200,0.0005133
1000,300,0.07777
1000,400,0.1981
1000,500,0.2556
1000,700,0.1946
1000,800,0.1159
1000,900,0.04034
1500,200,9.158e-05
1500,300,0.01426
1500,400,0.03933
1500,500,0.05694
1500,600,0.06412
1500,700,0.06447
1500,800,0.06063
1500,900,0.05404
1500,1000,0.04447
1500,1100,0.03321
1500,1200,0.02198
1500,1300,0.01193
1500,1400,0.003902
2000,200,2.265e-05
2000,300,0.00356
2000,400,0.01002
2000,500,0.01502
2000,600,0.01744
2000,700,0.01848
2000,800,0.01853
2000,900,0.01811
2000,1000,0.01698
2000,1100,0.01579
2000,1200,0.01387
2000,1300,0.01204
2000,1400,0.009871
2000,1500,0.007698
2000,1600,0.005451
2000,1700,0.0035
2000,1800,0.001771
2000,1900,0.0006109
2500,200,6.761e-06
2500,300,0.001057
2500,400,0.002979
2500,500,0.004401
2500,600,0.005233
2500,700,0.00582
2500,800,0.005873
2500,900,0.005938
2500,1000,0.005801
2500,1100,0.005638
2500,1200,0.005319
2500,1300,0.004925
2500,1400,0.004548
2500,1500,0.004161
2500,1600,0.003671
2500,1700,0.003167
2500,1800,0.002603
2500,1900,0.002084
2500,2000,0.001562
2500,2100,0.001095
2500,2200,0.0006776
2500,2300,0.0003474
2500,2400,0.0001248
3000,200,2.233e-06
3000,300,0.0003464
3000,400,0.0009796
3000,500,0.001444
3000,600,0.001733
3000,700,0.00192
3000,800,0.001998
3000,900,0.00203
3000,1000,0.00201
3000,1100,0.001948
3000,1200,0.001891
3000,1300,0.001826
3000,1400,0.001757
3000,1500,0.001669
3000,1600,0.001578
3000,1700,0.001438
3000,1800,0.001317
3000,1900,0.001182
3000,2000,0.001053
3000,2100,0.0009088
3000,2200,0.0007669
3000,2300,0.0006304
3000,2400,0.0004921
3000,2500,0.0003776
3000,2600,0.0002526
3000,2700,0.0001555
3000,2800,7.889e-05
3000,2900,2.982e-05
3500,200,7.982e-07
3500,300,0.0001259
3500,400,0.0003544
3500,500,0.0005182
3500,600,0.0006256
3500,700,0.0006819
3500,800,0.0007178
3500,900,0.0007342
3500,1000,0.0007326
3500,1100,0.0007209
3500,1200,0.0007102
3500,1300,0.0006967
3500,1400,0.0006679
3500,1500,0.0006357
3500,1600,0.0006195
3500,1700,0.0005875
3500,1800,0.0005579
3500,1900,0.0005221
3500,2000,0.0004847
3500,2100,0.0004497
3500,2200,0.0004077
3500,2300,0.0003704
3500,2400,0.0003267
3500,2500,0.0002847
3500,2600,0.0002457
3500,2700,0.0002028
3500,2800,0.0001645
3500,2900,0.0001277
3500,3000,9.306e-05
3500,3100,6.437e-05
3500,3200,3.93e-05
3500,3300,2.036e-05
3500,3400,8.083e-06
4000,200,3.203e-07
4000,300,4.961e-05
4000,400,0.0001373
4000,500,0.0002014
4000,600,0.0002433
4000,700,0.0002683
4000,800,0.0002744
4000,900,0.000278
4000,1000,0.0002819
4000,1100,0.0002784
4000,1200,0.0002764
4000,1300,0.0002711
4000,1400,0.0002634
4000,1500,0.0002561
4000,1600,0.0002453
4000,1700,0.0002384
4000,1800,0.0002288
4000,1900,0.0002194
4000,2000,0.0002094
4000,2100,0.0001967
4000,2200,0.0001875
4000,2300,0.0001753
4000,2400,0.000161
4000,2500,0.0001488
4000,2600,0.0001361
4000,2700,0.0001216
4000,2800,0.000111
4000,2900,9.768e-05
4000,3000,8.398e-05
4000,3100,7.068e-05
4000,3200,5.917e-05
4000,3300,4.733e-05
4000,3400,3.612e-05
4000,3500,2.647e-05
4000,3600,1.814e-05
4000,3700,1.125e-05
4000,3800,5.852e-06
4000,3900,2.494e-06
4500,200,1.443e-07
4500,300,2.208e-05
4500,400,6.025e-05
4500,500,8.748e-05
4500,600,0.0001036
4500,700,0.0001146
4500,800,0.0001174
4500,900,0.0001181
4500,1000,0.0001192
4500,1100,0.0001173
4500,1200,0.0001158
4500,1300,0.0001143
4500,1400,0.0001115
4500,1500,0.0001084
4500,1600,0.0001051
4500,1700,0.0001026
4500,1800,9.953e-05
4500,1900,9.573e-05
4500,2000,9.267e-05
4500,2100,8.777e-05
4500,2200,8.453e-05
4500,2300,8.036e-05
4500,2400,7.636e-05
4500,2500,7.301e-05
4500,2600,6.846e-05
4500,2700,6.362e-05
4500,2800,5.888e-05
4500,2900,5.511e-05
4500,3000,4.932e-05
4500,3100,4.562e-05
4500,3200,4.047e-05
4500,3300,3.584e-05
4500,3400,3.178e-05
4500,3500,2.726e-05
4500,3600,2.298e-05
