sample,0–50,1000–1500,100–150,1500–2000,150–200,2000–inf,200–250,250–450,450–650,50–100,650–850,850–1000
DYJets,0.0,0.0,1.086707490134485e-06,0.0,1.086707490134485e-06,0.0,1.086707490134485e-06,3.2601224704034557e-06,1.086707490134485e-06,0.0,0.0,0.0
DYJets_MG,0.0,0.0,1.9931874699342714e-06,0.0,0.0,0.0,0.0,1.9931874699342714e-06,0.0,1.9931874699342714e-06,0.0,0.0
HtoZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT1000to1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT1500to2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT400to600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT40to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT600to800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT800to1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT1000to1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT1200to1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT1500to2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT2000toInf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT400to600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT600to800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT70to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT800to1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_sch_antitop_Lep,0.0,0.0,0.0,0.0,0.0,0.0,0.0003688057625836,0.0,0.0,0.0,0.0,0.0
ST_sch_top_Lep,0.0002274180779595,0.0,0.0,0.0,0.0,0.0,0.0,0.0002274180779595,0.0,0.0002274180779595,0.0,0.0
ST_tW_antitop_Fullyhad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.119749992191432e-05,0.0,0.0
ST_tW_antitop_Lep,0.000149287734595,0.0,0.0004478632037852,0.0,0.0011943018767606,0.0,0.0008957264075704,0.0013435896113557,0.0002985754691901,0.0011943018767606,0.0,0.0
ST_tW_antitop_Semilep,0.000530250368392,0.0,0.0009610787927105,0.0,0.000463969072343,3.31406480245027e-05,0.0004308284243185,0.0011599226808575,0.000198843888147,0.0012924852729556,0.0,0.0
ST_tW_top_Fullyhad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_tW_top_Lep,0.0002945508871483,0.0,0.0011782035485932,0.0,0.001030928105019,0.0,0.0005891017742966,0.0005891017742966,0.0004418263307224,0.0005891017742966,0.0,0.0
ST_tW_top_Semilep,0.000788080401226,0.0,0.0009194271347636,0.0,0.000788080401226,0.0,0.000558223617535,0.000788080401226,0.0002626934670753,0.001346304018761,0.0,0.0
ST_tch_antitop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_tch_top,0.0,0.0,0.0,0.0,0.0001173744390311,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTJJ_powheg,0.0,0.0,6.972911015308001e-06,0.0,6.972911015308001e-06,0.0,0.0,0.0,0.0,1.3945822030616002e-05,0.0,0.0
TTLJ_powheg,0.0045216639175061,2.8438137845950347e-05,0.0070336994272317,4.739689640991724e-06,0.0043368160215074,2.369844820495862e-05,0.0025878705439814,0.0023603654412138,0.0001516700685117,0.0097590209708019,3.317782748694207e-05,2.369844820495862e-05
TTLL_powheg,0.001064537470764,0.0,0.0010037067581489,0.0,0.0008212146203036,0.0,0.0003497765975367,0.000395399631998,4.562303446131553e-05,0.0017336753095299,0.0,0.0
WJets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WJets_MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWto2L2Nu,0.0,0.0,5.811792564693328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWto4Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWtoLNu2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.433128117544898e-05,0.0
WZto2L2Q,0.0,0.0,0.0,0.0,0.0,0.0,3.355079262012354e-05,0.0,0.0,0.0,0.0,0.0
WZto3LNu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WZtoLNu2Q,0.0004799625271557,0.0,0.0,0.0,0.0003199750181038,0.0,0.0001599875090519,0.0001599875090519,0.0,0.0003199750181038,0.0,0.0
ZZto2L2Nu,0.0,0.0,0.0,0.0,0.0025158201235318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZZto2L2Q,0.0001227121800503,0.0,0.0002454243601007,0.0,0.0001227121800503,0.0,0.0,0.0003681365401511,0.0001227121800503,0.0001227121800503,0.0,0.0
ZZto2Nu2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.191746038815842e-05,0.0,0.0,0.0,0.0
