sample,0–800,1000–1200,1200–1600,1600–2000,2000–2500,2500–3000,3000–4000,4000–5000,5000–inf,800–1000
DYJets,2.17341498026897e-06,0.0,4.34682996053794e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.086707490134485e-06
DYJets_MG,1.9931874699342714e-06,1.9931874699342714e-06,0.0,1.9931874699342714e-06,0.0,0.0,0.0,0.0,0.0,0.0
HtoZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT1000to1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT1500to2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT400to600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT40to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT600to800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCDB_HT800to1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT1000to1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT1200to1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT1500to2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT2000toInf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT400to600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT600to800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT70to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QCD_HT800to1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_sch_antitop_Lep,0.0,0.0003688057625836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_sch_top_Lep,0.0004548361559191,0.0,0.0002274180779595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_tW_antitop_Fullyhad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.119749992191432e-05
ST_tW_antitop_Lep,0.0014928773459508,0.0013435896113557,0.0011943018767606,0.0004478632037852,0.000149287734595,0.0,0.0,0.0,0.0,0.0008957264075704
ST_tW_antitop_Semilep,0.0015576104571516,0.000927938144686,0.000927938144686,0.0002982658322205,0.0001657032401225,0.0,6.62812960490054e-05,0.0,0.0,0.001126782032833
ST_tW_top_Fullyhad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_tW_top_Lep,0.0016200298793156,0.0007363772178707,0.0007363772178707,0.0002945508871483,0.0002945508871483,0.0,0.0,0.0,0.0,0.001030928105019
ST_tW_top_Semilep,0.0021015477366026,0.0010179371849169,0.0006895703510727,0.000164183416922,0.0001970201003065,6.567336676883334e-05,0.0,0.0,0.0,0.0012149572852234
ST_tch_antitop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_tch_top,0.0001173744390311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTJJ_powheg,1.3945822030616002e-05,6.972911015308001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.972911015308001e-06
TTLJ_powheg,0.0168069394669566,0.0036163831960766,0.0025167751993666,0.000554543687996,0.0001374509995887,3.7917517127933794e-05,2.369844820495862e-05,0.0,2.8438137845950347e-05,0.0071427122889745
TTLL_powheg,0.0029046665273704,0.000729968551381,0.0003649842756905,0.0001216614252301,4.562303446131553e-05,0.0,0.0,0.0,0.0,0.0012470296086092
WJets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WJets_MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWto2L2Nu,5.811792564693328e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWto4Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWtoLNu2Q,0.0,0.0,0.0,0.0,1.433128117544898e-05,0.0,0.0,0.0,0.0,0.0
WZto2L2Q,0.0,3.355079262012354e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WZto3LNu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WZtoLNu2Q,0.0009599250543115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004799625271557
ZZto2L2Nu,0.0025158201235318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZZto2L2Q,0.0006135609002518,0.0001227121800503,0.0,0.0001227121800503,0.0,0.0,0.0,0.0,0.0,0.0002454243601007
ZZto2Nu2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.191746038815842e-05
