sample,pt_bin,count
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,150–350,0.0367922876712328
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,350–550,0.0621168493150684
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,550–750,0.0817075479452054
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,750–950,0.0634137945205479
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,950–1150,0.055154301369863
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1150–1350,0.0320140684931506
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1350–1550,0.0179524520547945
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1550–inf,0.0128329315068493
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,150–350,0.1710349090909091
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,350–550,0.2396301818181818
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,550–750,0.2644090909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,750–950,0.2029150909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,950–1150,0.1124116363636363
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1150–1350,0.059832
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1350–1550,0.029764909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1550–inf,0.0161667272727272
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,150–350,0.000577248
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,350–550,0.001105533
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,550–750,0.001399311
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,750–950,0.001239537
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,950–1150,0.00115965
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1150–1350,0.000989568
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1350–1550,0.000767946
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1550–inf,0.000788562
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,150–350,14.99057898305085
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,350–550,15.674489491525428
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,550–750,8.941667796610172
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,750–950,3.350237288135594
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,950–1150,0.5914901694915256
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1150–1350,0.0508311864406779
