sample,pt_bin,count
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,50–250,0.020273301369863
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,250–450,0.0794549589041095
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,450–650,0.1088068767123287
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,650–850,0.1324249315068493
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,850–1000,0.019932
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1000–1500,0.0066212465753424
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1500–2000,0.0005460821917808
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,2000–inf,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,50–250,0.0605874545454545
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,250–450,0.1940007272727272
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,450–650,0.2385725454545454
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,650–850,0.2231612727272727
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,850–1000,0.1414210909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1000–1500,0.2585165454545454
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1500–2000,0.0108785454545454
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,2000–inf,0.0004532727272727
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,50–250,0.003301137
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,250–450,0.002172411
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,450–650,0.001206036
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,650–850,0.00064425
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,850–1000,0.000273162
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1000–1500,0.000298932
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1500–2000,0.000100503
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,2000–inf,1.0308e-05
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,50–250,8.48418711864407
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,250–450,17.938787796610175
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,450–650,15.129209491525428
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,650–850,5.244854237288137
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,850–1000,0.1571145762711864
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1000–1500,0.0369681355932203
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1500–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,2000–inf,0.0
