sample,pt_bin,count
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,150–350,0.0016382465753424
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,350–550,0.0155633424657534
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,550–750,0.0409561643835616
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,750–950,0.0453930821917808
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,950–1150,0.0483965342465753
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1150–1350,0.0533795342465753
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1350–1550,0.0587038356164383
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1550–inf,0.1044382191780821
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,150–350,0.0039283636363636
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,350–550,0.0871794545454545
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,550–750,0.1547170909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,750–950,0.2045770909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,950–1150,0.2033683636363636
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1150–1350,0.1713370909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1350–1550,0.1155845454545454
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1550–inf,0.1882592727272727
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,150–350,2.577e-06
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,350–550,0.000265431
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,550–750,0.000502515
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,750–950,0.000659712
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,950–1150,0.001025646
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1150–1350,0.001033377
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1350–1550,0.001043685
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1550–inf,0.00355626
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,150–350,0.5452800000000001
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,350–550,9.468463728813562
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,550–750,15.323292203389832
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,750–950,12.61075525423729
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,950–1150,6.252235932203392
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1150–1350,2.4676230508474584
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1350–1550,0.3511972881355933
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1550–inf,0.0138630508474576
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,150–350,0.0159113684210526
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,350–550,0.2106362105263158
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,550–750,0.3218263684210526
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,750–950,0.3530808421052631
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,950–1150,0.2983381578947368
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1150–1350,0.1772981052631579
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1350–1550,0.1945354210526315
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1550–inf,0.2034382105263157
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,150–350,0.0017892
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,350–550,0.0840924
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,550–750,0.2187297
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,750–950,0.2461641
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,950–1150,0.2153003999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1150–1350,0.1558095
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1350–1550,0.041748
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1550–inf,0.0113315999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,150–350,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,350–550,1.156039603960396
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,550–750,1.156039603960396
