sample,mass_bin,count
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,0–1200,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1200–1400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1400–1600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1600–1800,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1800–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,2000–2500,0.0007508630136986
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,2500–3000,0.0004778219178082
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,3000–inf,0.3672402739726026
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,0–1200,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1200–1400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1400–1600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1600–1800,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1800–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,2000–2500,0.0009065454545454
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,2500–3000,0.0018130909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,3000–inf,1.1262316363636364
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,0–1200,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1200–1400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1400–1600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1600–1800,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1800–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,2000–2500,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,2500–3000,4.3809e-05
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,3000–inf,0.008045394
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,0–1200,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1200–1400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1400–1600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1600–1800,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1800–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,2000–2500,3.290164067796611
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,2500–3000,32.892398644067804
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,3000–inf,10.850147796610171
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,0–1200,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1200–1400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1400–1600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1600–1800,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1800–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,2000–2500,0.0009471052631578
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,2500–3000,0.0185632631578947
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,3000–inf,1.7555543157894735
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,0–1200,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1200–1400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1400–1600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1600–1800,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1800–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,2000–2500,0.0545706
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,2500–3000,0.420462
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,3000–inf,0.4999323
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,0–1200,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,1200–1400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,1400–1600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,1600–1800,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,1800–2000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,2000–2500,1.156039603960396
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,2500–3000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,3000–inf,1.156039603960396
