sample,0–100,1000–1500,100–200,1500–2000,2000–inf,200–300,300–400,400–500,500–600,600–700,700–800,800–900,900–1000
result_DYJets,0.0163006123520172,0.0,0.0032601224704034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_DYJets_MG,0.0279046245790798,0.0,0.0039863749398685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_HtoZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT1000to1500,7.838585738462242,0.0,0.1507420334319661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT1500to2000,11.315236089103406,0.0,0.5657618044551703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT400to600,0.0301818942585461,0.0,0.0027438085689587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT40to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT600to800,0.0040379977208466,0.0,0.0003670907018951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT800to1000,3.5172594607181358,0.0,0.0881764210207889,0.0,0.0,0.0293921403402629,0.0097973801134209,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT1000to1200,1.4369683872201495,0.0011235092941517,0.0415698438836165,0.0,0.0,0.0056175464707589,0.0067410557649107,0.0033705278824553,0.0,0.0011235092941517,0.0011235092941517,0.0,0.0
result_QCD_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT1200to1500,2.213381101901057,0.001076547228551,0.0753583059985768,0.0,0.001076547228551,0.011842019514062,0.0096889250569598,0.0021530944571021,0.0032296416856532,0.0032296416856532,0.0043061889142043,0.001076547228551,0.0
result_QCD_HT1500to2000,0.6581733496199897,0.001132341246658,0.0251945927381415,0.0,0.0002830853116645,0.0048124502982966,0.0019815971816515,0.0014154265583225,0.0008492559349935,0.000566170623329,0.0,0.0,0.0002830853116645
result_QCD_HT2000toInf,0.2310151626611637,0.0002133103995024,0.0101677957096172,7.110346650081985e-05,7.110346650081985e-05,0.003128552526036,0.0014220693300163,0.0004977242655057,0.0004266207990049,0.0004266207990049,0.0,0.0002133103995024,7.110346650081985e-05
result_QCD_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT400to600,0.0027962069196108,0.0,0.0013981034598054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT600to800,0.1521408317947925,0.0,0.0013229637547373,0.0,0.0,0.0026459275094746,0.0,0.0013229637547373,0.0013229637547373,0.0,0.0,0.0,0.0
result_QCD_HT70to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT800to1000,0.7150167363857123,0.0,0.0110855307966777,0.0,0.0,0.0022171061593355,0.0,0.0,0.0011085530796677,0.0011085530796677,0.0,0.0,0.0011085530796677
result_ST_sch_antitop_Lep,0.3688057625836358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_ST_sch_top_Lep,0.9096723118383698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_ST_tW_antitop_Fullyhad,36.84378996845338,0.0,1.003172499141057,0.0,0.0,0.2735924997657429,0.0,0.0911974999219143,0.0,0.0,0.0911974999219143,0.0,0.0
result_ST_tW_antitop_Lep,4.180056568662287,0.0,2.5378914881163883,0.0,0.0,0.8957264075704899,0.5971509383803266,0.1492877345950816,0.0,0.0,0.1492877345950816,0.1492877345950816,0.0
result_ST_tW_antitop_Semilep,11.035835792159402,0.0,1.6238917532006327,0.0,0.0331406480245027,0.6628129604900541,0.2982658322205244,0.0662812960490054,0.0662812960490054,0.0331406480245027,0.0,0.0,0.0
result_ST_tW_top_Fullyhad,35.30259708757486,0.0,1.6945246602035933,0.0,0.0,0.3765610356007985,0.0941402589001996,0.0,0.0,0.0941402589001996,0.0,0.0,0.0
result_ST_tW_top_Lep,4.860089637947016,0.0,1.178203548593216,0.0,0.0,0.5891017742966079,0.4418263307224559,0.0,0.0,0.0,0.0,0.0,0.0
result_ST_tW_top_Semilep,11.492839184545836,0.0328366833844166,1.970201003065,0.0,0.0,0.29553015045975,0.3612035172285833,0.0656733667688333,0.0656733667688333,0.0,0.0,0.0328366833844166,0.0
result_ST_tch_antitop,4.33285323022821,0.0,0.4814281366920233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_ST_tch_top,5.0471008783385605,0.0,0.3521233170933879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_TTJJ_powheg,82.60110388733858,0.048810377107156,2.3707897452047204,0.013945822030616,0.03486455507654,0.55783288122464,0.230106063505164,0.090647843199004,0.041837466091848,0.027891644061232,0.048810377107156,0.027891644061232,0.006972911015308
result_TTLJ_powheg,73.74957081383123,0.0473968964099172,4.8534421923755255,0.0189587585639668,0.0236984482049586,0.9763760660442952,0.2843813784595034,0.1516700685117351,0.1137525513838013,0.0710953446148758,0.0379175171279337,0.0142190689229751,0.0094793792819834
result_TTLL_powheg,11.846781281788266,0.0,1.429521746454553,0.0,0.0,0.4106073101518397,0.0760383907688592,0.0304153563075436,0.0,0.0152076781537718,0.0,0.0152076781537718,0.0
result_WJets,0.0063099102450871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_WJets_MG,0.0046369046831753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_WWto2L2Nu,0.1743537769407998,0.0,0.1162358512938665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_WWto4Q,1.3711574594349207,0.0,0.0717883486615141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071788348661514
result_WWtoLNu2Q,0.4729322787898163,0.0,0.0286625623508979,0.0,0.0,0.0,0.0,0.0143312811754489,0.0,0.0,0.0,0.0,0.0
result_WZto2L2Q,1.0736253638439532,0.0,0.0335507926201235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_WZto3LNu,0.2302831534713675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_WZtoLNu2Q,2.239825126726985,0.0,0.1599875090519275,0.0,0.0,0.0,0.1599875090519275,0.1599875090519275,0.0,0.0,0.0,0.0,0.0
result_ZZto2L2Nu,5.031640247063623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_ZZto2L2Q,1.96339488080602,0.0,0.1227121800503762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_ZZto2Nu2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_ZZto4L,0.0876698415526336,0.0,0.0,0.0,0.0,0.0,0.0219174603881584,0.0,0.0,0.0,0.0,0.0,0.0
