sample,0–50,100–150,1150–1350,1350–1550,150–200,1550–inf,200–250,250–300,300–350,350–550,50–100,550–750,750–950,950–1150
result_DYJets,0.0,0.0,0.0,0.0,0.0032601224704034,0.0,0.0010867074901344,0.0010867074901344,0.0021734149802689,0.0086936599210758,0.0,0.0032601224704034,0.0,0.0
result_DYJets_MG,0.0,0.0,0.0,0.0,0.0039863749398685,0.0,0.007972749879737,0.0019931874699342,0.0019931874699342,0.0119591248196056,0.0,0.0019931874699342,0.0019931874699342,0.0
result_HtoZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT1000to1500,0.0,0.0,0.0,0.0,0.3014840668639323,0.0,0.4522261002958985,0.1507420334319661,1.0551942340237632,4.522261002958985,0.0,1.507420334319662,0.0,0.0
result_QCDB_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT1500to2000,0.0,0.0,0.0,0.0,0.2828809022275851,0.0,1.1315236089103409,0.990083157796548,0.5657618044551703,3.5360112778448145,0.0,3.394570826731022,1.697285413365511,0.2828809022275851
result_QCDB_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT400to600,0.0,0.0,0.0,0.0,0.0027438085689587,0.0,0.0164628514137524,0.0109752342758349,0.0027438085689587,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT40to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT600to800,0.0,0.0,0.0,0.0,0.0003670907018951,0.0,0.0022025442113709,0.0014683628075806,0.0003670907018951,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT800to1000,0.0,0.0,0.0,0.0,0.3625030641965766,0.0,0.3918952045368395,0.4800716255576285,0.3625030641965766,1.9986655431378817,0.0,0.0489869005671049,0.0,0.0
result_QCD_HT1000to1200,0.0,0.0,0.0,0.0,0.1471797175338855,0.0,0.1831320149467431,0.1752674498876805,0.1471797175338855,0.6774761043735343,0.0,0.1662793755344661,0.0011235092941517,0.0
result_QCD_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT1200to1500,0.0,0.0,0.0,0.0,0.1754771982538289,0.0,0.2594478820808145,0.1991612372819531,0.2034674261961574,0.7460472293859107,0.0,0.7072915291580713,0.0355260585421862,0.0
result_QCD_HT1500to2000,0.0,0.0,0.0002830853116645,0.0,0.0435951379963348,0.0,0.0489737589179605,0.0563339770212378,0.0455767351779863,0.1783437463486424,0.0,0.1857039644519197,0.1231421105740626,0.012738839024903
result_QCD_HT2000toInf,0.0,0.0,0.0171359354266975,0.0052616565210606,0.0112343477071295,0.0018486901290213,0.0176336596922033,0.0150739348981738,0.0121586927716401,0.0440130457640074,0.0,0.0378981476449369,0.0424487695009894,0.043017597232996
result_QCD_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT400to600,0.0,0.0,0.0,0.0,0.0013981034598054,0.0,0.0013981034598054,0.0013981034598054,0.0,0.0,0.0,0.0,0.0,0.0
