sample,0–50,100–150,1150–1350,1350–1550,150–200,1550–inf,200–250,250–300,300–350,350–550,50–100,550–750,750–950,950–1150
result_DYJets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010867074901344,0.0032601224704034,0.0086936599210758,0.0,0.0054335374506724,0.0010867074901344,0.0
result_DYJets_MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039863749398685,0.0039863749398685,0.0219250621692769,0.0,0.0,0.0019931874699342,0.0
result_HtoZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT1000to1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3014840668639323,5.275971170118816,0.0,2.411872534911459,0.0,0.0
result_QCDB_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT1500to2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414404511137925,0.0,3.394570826731022,0.0,6.223379849006873,2.1216067667068885,0.0
result_QCDB_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT400to600,0.0,0.0,0.0,0.0,0.0,0.0,0.0027438085689587,0.0164628514137524,0.0137190428447937,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT40to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT600to800,0.0,0.0,0.0,0.0,0.0,0.0,0.0003670907018951,0.0022025442113709,0.0018354535094757,0.0,0.0,0.0,0.0,0.0
result_QCDB_HT800to1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0097973801134209,0.1371633215878938,0.5486532863515754,2.9392140340262967,0.0,0.0097973801134209,0.0,0.0
result_QCD_HT1000to1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0011235092941517,0.0314582602362503,0.094374780708751,1.1999079261541203,0.0,0.1674028848286179,0.0033705278824553,0.0
result_QCD_HT100to200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT1200to1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0043061889142043,0.0161482084282664,0.0979657977981498,1.211115632119985,0.0,0.9602801278675792,0.0366026057707373,0.0
result_QCD_HT1500to2000,0.0,0.0,0.0002830853116645,0.0,0.0,0.0,0.000566170623329,0.0039631943633031,0.0161358627648771,0.2210896284099836,0.0,0.2997873450527179,0.1423919117672493,0.0104741565315869
result_QCD_HT2000toInf,0.0,0.0,0.0204777983522361,0.0069681397170803,7.110346650081985e-05,0.0018486901290213,0.0,0.0012798623970147,0.0030574490595352,0.0426620799004919,0.0,0.0545363588061288,0.0639931198507378,0.0528298756101091
result_QCD_HT200to400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT400to600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013981034598054,0.0013981034598054,0.0013981034598054,0.0,0.0,0.0,0.0
result_QCD_HT600to800,0.0,0.0,0.0,0.0,0.0,0.0,0.0013229637547373,0.0211674200757972,0.0542415139442303,0.0807007890389769,0.0,0.0013229637547373,0.0,0.0
result_QCD_HT70to100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_QCD_HT800to1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0033256592390033,0.0354736985493686,0.0986612240904316,0.5819903668255798,0.0,0.0121940838763454,0.0,0.0
result_ST_sch_antitop_Lep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688057625836358,0.0,0.0,0.0,0.0
result_ST_sch_top_Lep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6822542338787774,0.0,0.2274180779595924,0.0,0.0
result_ST_tW_antitop_Fullyhad,0.0,0.0,0.1823949998438286,0.0,0.0,0.0,0.0,2.097542498204029,5.015862495705287,21.97859748118135,0.0,6.931009994065487,1.7327524985163718,0.3647899996876572
result_ST_tW_antitop_Lep,0.0,0.0,0.1492877345950816,0.0,0.0,0.0,0.2985754691901633,0.5971509383803266,0.2985754691901633,4.926495241637695,0.0,1.9407405497360612,0.2985754691901633,0.1492877345950816
result_ST_tW_antitop_Semilep,0.0,0.0,0.0662812960490054,0.0,0.0,0.0,0.0331406480245027,0.2651251841960216,1.3919072170291138,8.45086524624819,0.0,2.9163770261562383,0.563391016416546,0.1325625920980108
result_ST_tW_top_Fullyhad,0.0,0.0,0.0,0.0941402589001996,0.0,0.1882805178003992,0.0,1.6003844013033937,5.271854498411179,22.028820582646716,0.0,6.589818123013974,1.506244142403194,0.2824207767005989
result_ST_tW_top_Lep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1472754435741519,0.8836526614449118,4.270987863650407,0.0,1.178203548593216,0.4418263307224559,0.1472754435741519
result_ST_tW_top_Semilep,0.0,0.0,0.0,0.0,0.0,0.0,0.0328366833844166,0.3283668338441667,1.3791407021455002,8.767394463639251,0.0,2.9224648212130835,0.6567336676883334,0.2298567836909167
result_ST_tch_antitop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4814281366920233,3.8514250935361862,0.0,0.2407140683460116,0.0,0.2407140683460116
result_ST_tch_top,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3521233170933879,0.5868721951556466,3.6386076099650086,0.0,0.7042466341867759,0.1173744390311293,0.0
result_TTJJ_powheg,0.0,0.0,0.090647843199004,0.020918733045924,0.006972911015308,0.006972911015308,0.167349864367392,4.267421541368496,11.205468001599955,54.7303785591525,0.0,13.018424865580036,2.217385702867944,0.369564283811324
result_TTLJ_powheg,0.0,0.0,0.0995334824608262,0.0236984482049586,0.0,0.0142190689229751,0.2606829302545448,3.346220886540157,9.20921697244692,51.1981275019926,0.0,13.394362925442612,2.322447924085945,0.4834483433811559
result_TTLL_powheg,0.0,0.0,0.0,0.0,0.0,0.0152076781537718,0.0304153563075436,1.15578353968666,2.55488992983367,8.364222984574514,0.0,1.5207678153771842,0.1520767815377184,0.0304153563075436
result_WJets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012619820490174,0.0037859461470522,0.0,0.0012619820490174,0.0,0.0
result_WJets_MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046369046831753,0.0,0.0,0.0,0.0
result_WWto2L2Nu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581179256469332,0.0581179256469332,0.1743537769407998,0.0,0.0,0.0,0.0
result_WWto4Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0071788348661514,0.0574306789292113,0.2871533946460567,0.7753141655443531,0.0,0.2727957249137538,0.0502518440630599,0.0
result_WWtoLNu2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0143312811754489,0.0,0.0859876870526938,0.3009569046844286,0.0,0.0859876870526938,0.0286625623508979,0.0
result_WZto2L2Q,0.0,0.0,0.0335507926201235,0.0,0.0,0.0,0.0,0.1006523778603706,0.2348555483408647,0.5032618893018531,0.0,0.2013047557207412,0.0,0.0335507926201235
result_WZto3LNu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1151415767356837,0.0,0.1151415767356837,0.0,0.0
result_WZtoLNu2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9198501086231297,0.0,0.4799625271557824,0.1599875090519275,0.1599875090519275
result_ZZto2L2Nu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515820123531812,2.515820123531812,0.0,0.0,0.0,0.0,0.0
result_ZZto2L2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.1227121800503762,0.1227121800503762,0.6135609002518811,0.7362730803022575,0.0,0.3681365401511287,0.1227121800503762,0.0
result_ZZto2Nu2Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result_ZZto4L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219174603881584,0.0219174603881584,0.0438349207763168,0.0,0.0219174603881584,0.0,0.0
